Adress,Price,Room,Bath,Property_type,Bedrooms_available,Available_from,Available_for,Sharing_with,Owner_occupied,Preferences,Description,Date_entered/renewed,Property_views
"39 College Green, Green Road, Carlow, Carlow Town, Co. Carlow",Ä420 per month,Double Room,Shared Bathroom,House,1,Immediately,6 Months,4,No,Male / Female,DescriptionDouble room to rent in large detached house. The house has all mod cons and a large garden with patio area and patio table and chairs.,05/04/2023,334
"55 Cahermoneen, Tralee, Tralee, Co. Kerry",Ä120 per week,Double & Twin Room,Shared Bathroom,House,2,Immediately,1 Year,1,Yes,Male,DescriptionOWNER'S home 5 minutes walk from Kerry College ETB. 2 remaining bedrooms for rent Sunday to Friday no weekends. Twin room n one double available Contact Joy if interested,10/04/2023,134
"lurgangreen, Dundalk, Co. Louth",Ä150 per week,Double Room,Shared Bathroom,Apartment,3,Immediately,1 Year,3,No,Male / Female,"DescriptionLovely apartment , only 3km to dkit snd wuxi. Heating, electricity , Internet and bins included in rent",08/04/2023,875
"Phibblestown Road, Ongar, Dublin 15",Ä180 per week,Single Room,Shared Bathroom,House,1,Immediately,6 Months,2,Yes,Female,"DescriptionHosting Power agency, providing affordable accommodation in Ireland since 2014.

We are proud to advertise this fully furnished and comfortable private room.
The house is equipped with all modern conveniences and you share it with your welcoming host. 

All bills (electricity, gas, etc.) and WiFi are included in the rent!
All bedding will be provided too.

HOW TO BOOK THIS ROOM?
- For the fastest way to book this room, please go to our website
- Alternatively, please reply to this ad with a detailed self description.

Room Ref: 46451",21/03/2023,720
"22 Dursey Row, Waterville, Dublin 15, Dublin 15",From Ä300 to Ä400 per week,Single & Double Room,Shared Bathroom,Apartment,2,"Apr 16th, 2023",1 Month,2,Yes,Female,"Description3 bed Duplex rooms to share.
Quiet neighbour hood near hospital shops and bus service in Blanchardstown.",13/04/2023,91
"Dormant Bungalow, Glencar Irish, Letterkenny, Letterkenny, Co. Donegal",Ä135 per week,Double Room,En-suite,Apartment,1,"Apr 14th, 2023",1 Year +,1,Yes,Male / Female,"Description1 EXTRA LARGE DOUBLE ROOM AVAILABLE FULLY FURNISHED WITH WALK IN WARDROBE

YOUR OWN BATHROOM WITH SHOWER

SHARING KITCHEN. DINING AND SITTING AREA ARE COMBINED

2 LARGE GARDENS, PRIVATE PARKING

MICROWAVE. HOB AND OVEN

FRIDGE FREEZER.

GREAT VIEWS",13/04/2023,53
"Ha'penny Bridge House, Ormond Quay Lower, Dublin 1, Dublin 1",Ä400 per month,Shared Room,Shared Bathroom,Apartment,1,"Apr 30th, 2023",3 Months,1,No,Male / Female,"DescriptionDublin City Centre Shared room.
Available for immediate move-in.
This is a shared room and not a private room. 
Price is 400 per month.
Email all enquiries. 
Comes fully furnished with all amenities.",09/04/2023,"1,002"
"Aughraboura Road, Athy, Co. Kildare",Ä200 per week,Double Room,En-suite,House,1,Immediately,6 Months,2,Yes,Male / Female,"DescriptionHosting Power agency, providing affordable accommodation in Ireland since 2014.

We are proud to advertise this fully furnished and comfortable private room.
The house is equipped with all modern conveniences and you share it with your welcoming host.

All bills (electricity, gas, etc.) are included in the rent!
All bedding will be provided too.

HOW TO BOOK THIS ROOM?
- For the fastest way to book this room, please go to our website
- Alternatively, please reply to this ad with a detailed self description.

Room Ref: 50114",12/04/2023,44
"Marina Village Limited, Marina Centre, Malahide Ma, Malahide, Co. Dublin","From Ä1,250 to Ä1,300 per month",Double Room,En-suite,Apartment,2,"Apr 23rd, 2023",1 Year,1,No,Male / Female,"Description1300 euros  Double bedroom 1 ensuite 
1250 euros Double bedroom 2
This beautiful apartment  has
 2 double bedrooms  to share and is located in the heart of  Marina Village Malahide.  This  is first letting  of the apartment  after has been completely refurbished and renovated.  

This apartment  has a fully fitted Kitchen, Dining area ,living room with balcony facing the Marina. The master bedroom ensuite , second  bedroom  is equally  spacious and one further main bathroom.

Located in the ever popular Malahide Marina Village, a host of amenities including restaurants, cafes, shops, boutiques and sports facilities are on your doorstep and the train station is only 5 minutes walk away. 
This property is offered furnished and is available immediately to view, please contact by email only to express your interest. Please  specify  the room preferences and say something about yourself .

Viewing is highly recommended",13/04/2023,123
"Blessington Road, Naas, Co. Kildare",Ä170 per week,Double Room,En-suite,House,1,Immediately,6 Months,2,Yes,Male / Female,"DescriptionHosting Power agency, providing affordable accommodation in Ireland since 2014.

We are proud to advertise this fully furnished and comfortable private room.
The house is equipped with all modern conveniences and you share it with your welcoming host. 

All bills (electricity, gas, etc.) and WiFi are included in the rent!
All bedding will be provided too.

HOW TO BOOK THIS ROOM?
- For the fastest way to book this room, please go to our website
- Alternatively, please reply to this ad with a detailed self description.

Room Ref: 47885",21/03/2023,"1,111"
"Newtown Road, Ballyshannon, Co. Donegal",Ä100 per week,Double Room,Shared Bathroom,House,1,Immediately,6 Months,2,Yes,Male / Female,"DescriptionHosting Power agency, providing affordable accommodation in Ireland since 2014.

We are proud to advertise this fully furnished and comfortable private room.
The house is equipped with all modern conveniences and you share it with your welcoming host. 

All bills (electricity, gas, etc.) and WiFi are included in the rent!
All bedding will be provided too.

HOW TO BOOK THIS ROOM?
- For the fastest way to book this room, please go to our website
- Alternatively, please reply to this ad with a detailed self description.

Room Ref: 27460",21/03/2023,254
"Carlow Road, Carlow",Ä150 per week,Single Room,Shared Bathroom,House,1,Immediately,6 Months,2,Yes,Female,"DescriptionHosting Power agency, providing affordable accommodation in Ireland since 2014.

We are proud to advertise this fully furnished and comfortable private room.
The house is equipped with all modern conveniences and you share it with your welcoming host. 

All bills (electricity, gas, etc.) and WiFi are included in the rent!
All bedding will be provided too.

HOW TO BOOK THIS ROOM?
- For the fastest way to book this room, please go to our website
- Alternatively, please reply to this ad with a detailed self description.

Room Ref: 33479",21/03/2023,132
"Town, Shercock, Co. Cavan",Ä500 per month,Double Room,En-suite,House,1,Immediately,1 Year +,4,No,Male / Female,"Descriptionbedroom with own bathroom ,shared kitchen , located in shercock Co Cavan in the center of town . House newly renovated Included in price ALL bills /electricity heat bins Wi-Fi  ect smart tv included as well plus plenty of parking contact kieran on 0894305878",12/04/2023,84
"Charlesland Grove, Charlesland, Greystones, Greystones, Co. Wicklow","Ä1,000 per month",Double Room,Shared Bathroom,House,1,"May 1st, 2023",6 Months,1,Yes,Female,"DescriptionDouble room in 2-bed townhouse sharing with one female.  Quiet, chilled house in a great location available for one female tenant.

All mod-cons, on-street parking, hi-speed broadband, Sky TV, west-facing garden with sun all afternoon!
2 minutes walk to 184 / 84X bus-stop or 25 minute walk to Greystones DART. Close to Supervalu, pharmacy, doctor, multiple gyms and walkable to all the shop and amenities in Greystones.

Shorter lets preferred (1-6 months) but all durations considered
must have references
Rent is 1000 monthly / 250 weekly which includes all bills
Refundable deposit of one month's rent 
Due to expected high volume of enquiries, it will not be possible to reply to all emails",10/04/2023,148
"Apartment 7, Threadneedle Court, 18 Threadneedle R, Salthill, Co. Galway","Ä1,800 per month",Double Room,En-suite,Apartment,1,Immediately,1 Year +,1,Yes,Male / Female / +1 Person,"DescriptionOne double bedroom with ensuite bathroom (bathtub and shower included), inside a 2 bedroom (+3 bathroom) apartment (Threadneedle Court) at Salthill, the bus stop (called Diving Board) is a minute walk. Indoor garage space. Available from May 2023

Well-maintained, modern and clean interiors. In a safe and quiet residential environment.

I live in one bedroom and am looking to rent the other bedroom to 1 or 2 people, looking for females and/or couples. The location in Salthill, just a minute's walk to the beach, including electricity bills it will be 1950 per month you will have access to all the apartment common areas/facilities 24/7 and one bedroom with the ensuite bathroom (includes a bathtub and shower), there is another toilet in the hallway too.

Facilities include:
-Fully equipped kitchen
-Fridge and Freezer
-Washing machine
-Dishwasher
-Electric Hob
-Electric kettle
-Microwave oven
-Conventional oven
-Toaster
-Water heating
-Bath tub & Shower in ensuite bathroom.
-One parking garage space
-Dining Table
-Sofa area
-Views of Salthill bay
-Less than a minute walk to the beach and nearest bus stop (bus 401 goes to Eyre Square, bus 410 goes to NUIG).
-Quiet & safe neighborhood
-Lift to the door of the apartment
-CCTV surveillance in place, smoke alarms and burglar alarms in place.

Message me on Whatsapp if you are interested. +353870687416",04/04/2023,"1,802"
"6 the Court, Ruxton oaks , Navan, Co. Meath",Ä600 per month,Double Room,En-suite,House,1,"May 1st, 2023",6 Months,1,Yes,Male / Female,"DescriptionDouble room with en-suite available from the end of April 2023 for 6 months to begin with. Full access to sitting room, kitchen and your own private bedroom. 10 minute walk to Navan town and local shops is a 5 minute walk away. 

Bills to be split equally monthly.

Wifi available and virgin media television installed in the main living area. 


If interested please contact via email to arrange viewing.

One months rent and equal deposit required upon moving in.",12/04/2023,160
"Abbeywood Crescent, Lucan, Co. Dublin",Ä180 per week,Double Room,Shared Bathroom,House,1,Immediately,3 Months,3,Yes,Female,"DescriptionDublin Host Families are proud to offer a large double bedroom in this stunning semi detached property located only 13 kilometres from Dublin City Centre.

Ideally located close to Liffey Valley Shopping Centre, Grange Castle Business Campus and only a short stroll to several bus routes linking you to Dublin City Centre and beyond.

All household bills are included (gas, electric, cable, wifi, water)
	
There is also a continental style breakfast included in the price.

You do not have to pay any security deposit.

The rate for the room is Ä180 per week (double) and it is paid every 4 weeks in advance.

The minimum stay is 3 months and would be available for up to 6 months.

Please e mail to check availability or to arrange a visit.",13/04/2023,876
"29 Maple Close, Dundalk, Dundalk, Co. Louth",From Ä440 to Ä460 per month,Single & Double Room,Shared Bathroom,House,2,"May 7th, 2023",4 Months,1,Yes,Male / Female,"DescriptionDouble and single room available from May .
Owner occupied.
House boasts a quiet atmosphere .
It is located close to shops, Dkit, retail parks and shopping centre .
All bills are included and rooms will be available on a Sunday evening to Friday morning basis with no overnight guests .
If suits please email Sinead",09/04/2023,479
"16 Lakeshore Drive, Saleen, Castlebar, Castlebar, Co. Mayo",Ä467 per month,Double Room,Shared Bathroom,House,1,Immediately,1 Year,3,No,Male / Female,"Description1/2 bedrooms available in 4 bed house located in Lakeshore drive castlebar. 

Well laid out house, oil central heating and stove. 

Sharing with 2 working professional males in their late 20's",12/04/2023,"1,039"
"Apartment 5, Cluain Riocaird, Castlegar, Galway, Castlegar, Co. Galway",Ä560 per month,Single Room,Shared Bathroom,Apartment,1,"Apr 23rd, 2023",1 Year,2,No,Male / Female,"DescriptionRoom available in Castlegar 3 Bed. Bus stop is a 2 minute walk, shops in 5, with lots of trees and open fields as well. 15 minutes from Eyre by bike. Room is 550 pm plus the deposit.

Current occupants are a woman in her 20s and a man in his 30s. We do not do drugs and there is no drinking or storing alcohol in common areas. The apartment is kept tidy all the time and is quiet during the normal hours (i.e. late evening and night).

The available room gets good light year round and has a nice view. There is one month left on the current lease and we are only looking for people interested in staying on through the next year.

Let us know a bit about you, your day to day, what your interests are, etc. Ramble a bit if you can, information helps get a reply. I will be away for the holidays but will start getting back to applicants during the coming week.",06/04/2023,476
"Dripsey, Ballincollig, Co. Cork",Ä580 per month,Double Room,Shared Bathroom,House,1,"Apr 13th, 2023",1 Year,1,No,Male / Female,"DescriptionLarge double room available to share with 1 other late 30s. 

LGBT  friendly. 

***You will need a car, do not apply otherwise ***

Located in a quiet country lane in Dripsey. (Must have a car). Suit Ballincollig, Macroom, Cork city areas. 

Would suit someone who likes the outdoors, peace and quiet of the countryside with occasional tunes inside. 

Work from home as an artist. 

Hygiene is very important, especially in communal areas. 


Idyllic walks at your doorstep with a view of the water at the entrance to the house.",02/04/2023,"1,029"
"Woodbrook, Cratloe, Co. Clare",Ä140 per week,Double Room,En-suite,House,1,Immediately,6 Months,2,Yes,Male / Female,"DescriptionHosting Power agency, providing affordable accommodation in Ireland since 2014.

We are proud to advertise this fully furnished and comfortable private room.
The house is equipped with all modern conveniences and you share it with your welcoming host. 

All bills (electricity, gas, etc.) and WiFi are included in the rent!
All bedding will be provided too.

HOW TO BOOK THIS ROOM?
- For the fastest way to book this room, please go to our website
- Alternatively, please reply to this ad with a detailed self description.

Room Ref: 19786A",21/03/2023,466
"22 Mill Cross Road, Bealnamulla, Athlone, Athlone, Co. Roscommon",Ä500 per month,Double Room,Shared Bathroom,Apartment,1,Immediately,1 Year +,3,No,Male / Female,"DescriptionDouble room available in recently renovated apartment in Monksland.
Quiet residential area, sharing with professionals.
Space available for parking.
Broadband and bins included.
200m from The Mill Bar and bus stop for both A1 & A2 buses.
Texts and email only, please.",07/04/2023,882
"11 Bearna Park, Dublin 18, Sandyford, Dublin 18",Ä900 per month,Double Room,Shared Bathroom,House,1,Immediately,1 Year +,2,Yes,Male,DescriptionDouble bedroom for rent . Close to the 44 bus stop and close to Luas.Sharing with 2 residents of the house. Full use of kitchen. There are dogs living in the property. Wi-Fi and bills included in the price 0851639994,11/04/2023,885
"The Avenue, Ratoath, Co. Meath",Ä135 per week,Double Room,En-suite,House,1,Immediately,6 Months,2,Yes,Male / Female,"DescriptionHosting Power agency, providing affordable accommodation in Ireland since 2014.

We are proud to advertise this fully furnished and comfortable private room.
The house is equipped with all modern conveniences and you share it with your welcoming host. 

All bills (electricity, gas, etc.) and WiFi are included in the rent!
All bedding will be provided too.

HOW TO BOOK THIS ROOM?
- For the fastest way to book this room, please go to our website
- Alternatively, please reply to this ad with a detailed self description.

Room Ref: 32944",21/03/2023,669
"Low Road, Bunratty, Co. Clare",Ä550 per month,Double Room,En-suite,House,3,Immediately,1 Year +,4,No,Male / Female,"DescriptionDouble ensuite room available in Bunratty

2 mins drive/10 mins walk to the quaint Bunratty village with delicious restaurants, cafes, shopping and local pubs. 

10 minutes drive to Shannon/Shannon airport

Please enquire via Daft to express your interest. 

Monthly rent: 550
Bills (fixed): 25

Bills include: 
Electricity + heating (STFU)
Broadband
Monthly cleaner
Refuse and recycling

Please note you must supply your own linens, towels and toiletries. 

If you have further enquiries please send a message via Daft.",07/04/2023,"1,810"
"Temple Court, Northwood, Santry , Ballymun, Dublin 9",Ä800 per month,Double Room,Shared Bathroom,Apartment,1,Immediately,6 Months,2,No,Male / Female,"DescriptionI have beautiful room available for one single person 800 euro excluded bills and deposit same as rent.Great bus connections to airport, around 10 min or City Centre 20 min.You will share apartment with a quiet busy couple, both professional working at Dublin Airport. 
Looking for quiet, clean person . 
If you are interested please do not hesitate to contact me. 
No time waister !!!!
Only serious people please. 
Available immediately!!!!",13/04/2023,"3,198"
"Smartscastle East, Kilmacow, Waterford, Kilmacow, Co. Kilkenny",Ä350 per month,Single Room,Shared Bathroom,House,1,Immediately,1 Year +,5,No,Male,DescriptionGreat property located 10 minutes drive fr9m waterford City . must have own transport and be clean,02/04/2023,482
"Dublin Road , Longford Town, Co. Longford",From Ä400 to Ä420 per month,Single Room,Shared Bathroom,House,1,Immediately,6 Months,3,Yes,Female,"DescriptionSingle room available in Longford Town on Dublin Road. Close to Dunnes Stores, St Joseph care centre and Lidl. Walking distance to Longford Town Centre. 
Rent is 400eu monthly including all bills.",10/04/2023,"1,145"
"Charlotte Way, Dublin 2",Ä850 per month,Double Room,Shared Bathroom,Apartment,1,Immediately,6 Months,1,Yes,Male / Female,"DescriptionRoom available to rent in desirable location, 5 minutes walk from Grafton Street and Luas line. 

Sharing with one mid thirties working professional, looking to share with a laid back person.

Rent is 850 per month (does not include bills) and one month's rent is required as deposit when moving in.

Landlord reference required. 

Please respond with a little information about yourself and I will get back to you asap.",10/04/2023,730
"Chapel Street, Borrisoleigh, Co. Tipperary",Ä140 per week,Double Room,Shared Bathroom,House,1,Immediately,6 Months,2,Yes,Male / Female,"DescriptionHosting Power agency, providing affordable accommodation in Ireland since 2014.

We are proud to advertise this fully furnished and comfortable private room.
The house is equipped with all modern conveniences and you share it with your welcoming host. 

All bills (electricity, gas, etc.) and WiFi are included in the rent!
All bedding will be provided too.

HOW TO BOOK THIS ROOM?
- For the fastest way to book this room, please go to our website
- Alternatively, please reply to this ad with a detailed self description.

Room Ref: 32065A",07/04/2023,67
"The Avenue, Kill St Lawrence, Ballytruckle, Co. Waterford",Ä475 per month,Single Room,Shared Bathroom,House,1,"May 8th, 2023",1 Year +,1,Yes,Female,"DescriptionFour Bedroom semi-detached owner occupied. Single room available by May 2023, electricity and heating not included, shared toilet.",14/04/2023,351
"33 Ratra Park, Navan Road, Dublin 7, Navan Road (D7), Dublin 7",Ä750 per month,Single Room,Shared Bathroom,House,1,Immediately,10 Months,2,No,Female,"DescriptionThis property is located beside Phoenix Park, and has a bus stop and convenience store nearby. Rent is 750  + bills. ***Only accepting women*** Preferably Russian speaking. Text or email please, not taking phone calls.",12/04/2023,911
"Hamlet Avenue, Balbriggan, Co. Dublin",Ä750 per month,Double Room,En-suite,House,1,Immediately,1 Year,1,Yes,Male / Female,"DescriptionHouse share: Available to let immediately for non smoking FEMALE only. Working from home is not possible. 


. 

A must see! Spacious 3 bedroom house to share. This fabulous property is spacious throughout and comes fully furnished with all Mod Cons. Downstairs has large Kitchen, Living room and WC. Double bedroom upstairs with large bathroom available for tenant. Close to M1, train station, bus stop and shopping and town centre. Large garden to the rear and off street parking for tenants car. Very quiet and peaceful area.

Please familiarise yourself with location before making contact. 

Available for 6 months - 1 year ......short term lets considered.

Call 087 6717784 to arrange a viewing!",10/04/2023,918
"Raynestown, Dunshaughlin, Parsonstown, Co. Meath",Ä800 per month,Double Room,En-suite,House,1,Immediately,6 Months,1,No,Male / Female,"Description8 minute walk to 109 bus stop
5 minute drive MSD
7 minute to M3 Parkway
15 minute to Blanchardstown Shopping Centre
Bills not included
One months deposit and one months rent required",07/04/2023,283
"Finglas Park, Dublin 11, Dublin 11",Ä160 per week,Double Room,Shared Bathroom,House,1,"Apr 26th, 2023",1 Month,1,Yes,Female,"Descriptionfamily home 3 bedroom 1 bathroom
looking for a  responsible adult Monday to Friday only",12/04/2023,318
"Belmont Park, Raheny, Dublin 5",Ä190 per week,Single Room,Shared Bathroom,House,1,"May 14th, 2023",6 Months,2,Yes,Female,"DescriptionHosting Power agency, providing affordable accommodation in Ireland since 2014.

We are proud to advertise this fully furnished and comfortable private room.
The house is equipped with all modern conveniences and you share it with your welcoming host.

All bills (electricity, gas, etc.) and WiFi are included in the rent!
All bedding will be provided too.

HOW TO BOOK THIS ROOM?
- For the fastest way to book this room, please go to our website
- Alternatively, please reply to this ad with a detailed self description.

Room Ref: 48587",11/04/2023,299
"24 Fforster Close, Ballydowd Manor, Lucan, Lucan, Co. Dublin",Ä650 per month,Single Room,Shared Bathroom,House,1,Immediately,1 Year,2,No,Male / Female,"DescriptionSingle room to rent in a lovely three bedroom house. Close to all amenities , shops, schools and M50 on your doorstep",11/04/2023,"1,895"
"Churchlands Sandyford village Dublin 18., Sandyford, Dublin 18","Ä1,150 per month",Double Room,Shared Bathroom,House,1,Immediately,1 Year,4,No,Male / Female / +1 Person,"DescriptionBright sunny Double room overlooking private courtyard. Designated workspace and high speed WIFI. Ideal location, set within large 2000sq ft. house in the village of Sandyford, with all local  amenities  at your disposal. Available from April 11th

44, 11, 114 buses ,  within a ten minute walk. Glencairn  and Stillorgan Luas, Sandyford Business Park , and Dundrum Town centre,  all  within a 15 minute walk . 

Two shared bathrooms, extra large well stocked  kitchen and utility room.Large walled  garden with  Private  dining area and sun terrace  for guests use.  Safe, secluded peaceful setting, and free parking.",13/04/2023,991
"Tipperary Road, Pallasgreen, Co. Limerick",Ä150 per week,Single Room,Shared Bathroom,House,1,Immediately,6 Months,2,Yes,Male / Female,"DescriptionHosting Power agency, providing affordable accommodation in Ireland since 2014.

We are proud to advertise this fully furnished and comfortable private room.
The house is equipped with all modern conveniences and you share it with your welcoming host. 

All bills (electricity, gas, etc.) are included in the rent!
All bedding will be provided too.

HOW TO BOOK THIS ROOM?
- For the fastest way to book this room, please go to our website
- Alternatively, please reply to this ad with a detailed self description.

Room Ref: 21689A",13/04/2023,42
"Marlayview Ballinteer Avenue, Ballinteer, Dublin 16",Ä800 per month,Double Room,En-suite,Apartment,1,Immediately,6 Months,1,Yes,Male / Female,"DescriptionSpacious double bedroom available to rent in a two bedroomed apartment. Apartment is modern, well insulated & nicely furnished. The second bedroom is en-suite so the room being offered has exclusive use of the main bathroom.

Location:
12-15 min walk to the green luas line & dundrum shopping centre 
2min drive to the M50 

Local amenities/facilities:
2mins to a lidl, centra and the Ballinteer shopping centre (Supervalu)
2mins to Marlay Park
14, 16 & 75 bus stops outside the apartment gates
Parking is secured and there is a locked bike shed available. 

Looking for a tidy and friendly guy or girl to share with 42 year old guy in a quiet and relaxed apartment.

Please give some details about yourself in your mail.",12/04/2023,"1,295"
"New Line Road, Letterkenny, Co. Donegal",Ä120 per week,Double Room,Shared Bathroom,House,1,Immediately,6 Months,2,Yes,Male / Female,"DescriptionHosting Power agency, providing affordable accommodation in Ireland since 2014.

We are proud to advertise this fully furnished and comfortable private room.
The house is equipped with all modern conveniences and you share it with your welcoming host. 

All bills (electricity, gas, etc.) and WiFi are included in the rent!
All bedding will be provided too.

HOW TO BOOK THIS ROOM?
- For the fastest way to book this room, please go to our website
- Alternatively, please reply to this ad with a detailed self description.

Room Ref: 42344",21/03/2023,694
"The Woods, Cappahard, Ennis, Co. Clare",Ä80 per week,Single Room,Shared Bathroom,House,1,Immediately,1 Year +,3,Yes,Male / Female,"DescriptionSingle room available in a detached house, in a quiet housing estate, close to the town centre. Rent includes bins & TV licence. Additional bills include heating oil, electricity & WiFi (bills will be divided with the other tenants).",11/04/2023,281
"Daletree Crescent, Ballycullen, Dublin 16",Ä900 per month,Double Room,En-suite,House,1,Immediately,1 Month,1,No,Male / Female,"DescriptionRENTAL - AVAILABLE FOR 1 MONTH
- may suit someone relocating to Dublin whilst looking for more permanent accommodation

AVAILABLE APRIL ONWARDS

EXCELLENT VALUE 850 PER MONTH INCLUDING BILLS (electricity, gas, WIFI, refuse)

Double Bedroom, with sole use of main bathroom AVAILABLE IMMEDIATELY    

Very large 3 Bed Semi situated close to M50 (exit 12) ... approximately 1 minute drive to exit 12 on M50.

10 minute drive to Citywest Business Campus 

Less than 5 minute walk to #15 bus stop servicing Knocklyon, Terenure, Rathgar, Rathmines, Portobello, City Centre and straight through to Donaghmede. 

Less than 5 minute walk to #65B bus stop servicing Citywest Business Campus and Dublin City Centre

Lidl, Spar, Supervalu, Tesco shops all within walking distance. 

A number of local pubs/bars in the area also. 

10 minute drive to Hospital and College in Tallaght

10 minute drive to Dundrum Towncentre

Double Bedroom with double wardrobe storage
Use of main bathroom with electric shower
Shared kitchen/utility (oven & hob, microwave, dishwasher, fridge-freezer, washing machine)

All bills included in rent (WiFi, Gas, Electricity, Refuse)

If you are interested you must be clean & tidy, friendly, easy-going & considerate of others living in the house

There is currently one female professional living here. 

There is a cat in the house too :-)",07/04/2023,"1,007"
"Apartment 23, Block A Grande Central, Rockbrook, C, Stillorgan, Co. Dublin","Ä1,000 per month",Double Room,Shared Bathroom,Apartment,1,"Apr 13th, 2023",6 Months,1,No,Male / Female,"DescriptionDouble bedroom with a shared bathroom in a 3 bed 2 bath property. Dunnes, Aldi below the apartment. Stillorgan Luas is 3 minutes away and has two bus stops below apartment. 
Dundrum Shopping Centre, UCD are 30 minutes walking.",12/04/2023,410
"Woodview, Ennis, Co. Clare",Ä180 per week,Double Room,En-suite,House,1,Immediately,6 Months,2,Yes,Male / Female,"DescriptionHosting Power agency, providing affordable accommodation in Ireland since 2014.

We are proud to advertise this fully furnished and comfortable private room.
The house is equipped with all modern conveniences and you share it with your welcoming host. 

All bills (electricity, gas, etc.) and WiFi are included in the rent!
All bedding will be provided too.

HOW TO BOOK THIS ROOM?
- For the fastest way to book this room, please go to our website
- Alternatively, please reply to this ad with a detailed self description.

Room Ref: 26407A",21/03/2023,523
"Ellesmere Avenue, Dublin 7",Ä780 per month,Single Room,Shared Bathroom,House,1,"May 28th, 2023",2 Months,3,Yes,Male / Female,"DescriptionA lovely, bright and comfortable double room for solo use available from May 28th and for  summer months only at the moment.   Price is inclusive of all bills including a fast WIFI.    

The house is centrally located to most colleges ie.  DCU, Trinity, RCSI and TUD Grange Gorman  There are 2 large supermarkets within a 2 minute walk of the house. We are close to the Phoenix Park and are on a good bus link and Luas green line to the city centre.  The city is within walking distance, approx, 25 minutes.

We are a friendly house but respect the quiet and privacy of each other.  If you are interested please email  and outline a little about yourself and the reason you are visiting Dublin and your dates you need the room.
 If you are not in the country yet, I am open to a video call  and virtual viewing if you like.",13/04/2023,"4,192"
"Burrin Road , Carlow Town, Co. Carlow",From Ä95 to Ä135 per week,Single & Double Room,Shared Bathroom,House,1,"May 3rd, 2023",6 Months,2,Yes,Male / Female,"DescriptionHouse is close to town centre 
It has all mod cons
Bedroom is double with fitted wardrobe, dressing table and locker. 
Bins WiFi and tv included. 
Gas and electricity are on a meter and with the hike in prices its hard to include as each month may vary due to usage. 
A deposit of a months rent is required also months rent in advance
Please call ONLY between 2pm and 6 pm calls before or after this time will not be answered!
Emails preferred as not always able to answer phone.",13/04/2023,"2,309"
"29 Summerhill Park, Derrylin, Co. Fermanagh",£325 (Ä379) per month,Double Room,Shared Bathroom,House,1,Immediately,1 Year +,1,Yes,Male / Female,"DescriptionBrand new build house based in the centre of the village

Spacious double room with a king-size bed, not Ensuite but tenant has their own private bathroom.

20 minutes from Cavan/Enniskillen

Bills split equally

Shared with a 27 year old professional

Deposit is one months rent.

Rent and bills in Sterling not Euro (Can accept euro equivalent)

*Grass and Tarmac now complete around house.",07/04/2023,44
"47A Phibsborough Road, Phibsborough, Dublin 7",Ä575 per month,Single Room,Shared Bathroom,House,1,"May 1st, 2023",3 Months,3,No,Male / Female,"DescriptionRoom available from 01/05/2023

Rent: 575 EUR (Includes gas and internet).
Deposit: 600 EUR
Electricity: around 150 every two months, split between three.

Small but cozy house. 25 min walking distance from city center. Tesco, Boots and 24H Spar just next door. Dublinbikes station just 3 min down the road. Broadstone-DIT Luas station just 5 min away. 

LGBTQ friendly :)

Please tell us a little bit about yourself when contacting us. Email only. Thank you.",08/04/2023,"3,496"
"City Center Gardiner Street Dublin 1, Dublin 1",Ä150 per week,Shared Room,Shared Bathroom,Apartment,1,Immediately,1 Year,1,No,Female,"DescriptionCITY CENTER - FEMALE VACANCY 

Single Bed Available for weekly rent in a large double bedroom and bathroom.

Share with one another female who is living inside the room.

The Apartment is centrally located, 5 minute's walk from O'Connell street, close to  Aldi. Lidl, Tesco, Luas stops and Bus stops.

The vacancy only for female. 

Contact no: 089 982 3498 ( Catherina ).",13/04/2023,857
"Sundale Heights, Dublin 24",Ä900 per month,Double Room,En-suite,House,1,"Apr 13th, 2023",6 Months,1,Yes,Male / Female,DescriptionDouble room to rent in quiet house own bathroom owner occupied no pets no parties no smoking  rent does not include  bills esb gas and  Internet one months  deposit plus one month's rent references required no sleep overs 10mins walk to luas 5mins to bus stop to centre city local shops and amenities close this world suit quite person house  no set up for e bikes or scooter  charging,12/04/2023,244
"Charlesland Court, Charlesland, Greystones, Greystones, Co. Wicklow","Ä1,200 per month",Double Room,Shared Bathroom,House,1,Immediately,3 Months,2,Yes,Male / Female / +1 Person,"DescriptionTwo joined rooms rented as a single unit. Rooms are connected with stairs. Smaller room suited for example for office, larger room (next floor up) for bedroom. South-facing garden. 20 min walk to the DART and the sea. The area is well served by buses: 5 mins to Greystones village. Local shopping centre, takeaways and gym are only 5 min walk from the house.",06/04/2023,812
"Apartment 10, Block 8, Clarion Quay, North Wall Qu, IFSC, Dublin 1",Ä250 per week,Single Room,Shared Bathroom,Apartment,1,"Apr 15th, 2023",1 Month,1,No,Male / Female,"DescriptionRenting a single bedroom from the 15th of April to the 5th of May (flexible) in a big apartment for 40 eur/night (all bills included).

The apartment is fully furnished, high quality, with 2 bedrooms and 1 bathroom. 

It is located in Clarion Quay, 1 minute away from a LUAS station and 15 minutes walk from Temple Bar. The local area has supermarkets, gyms and nice walking areas.

You would be sharing the apartment with a Spanish girl.

Feel free to get in touch to learn more.",13/04/2023,350
